,,,"Burnaby, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Marital status","    Separated",,    4520,,    1770,,    2750,,  105700,,   45225,,   60475,
"Marital status","    Divorced",,   11625,,    4220,,    7410,,  263870,,  103475,,  160395,
"Marital status","    Widowed",,    9740,,    1830,,    7905,,  213685,,   44990,,  168700,
"Family characteristics","Total - Census families in private households by family size - 100% data",10,   64045,,,...,,..., 1311340,,,...,,...
"Family characteristics","  2 persons",,   30940,,,...,,...,  703685,,,...,,...
"Family characteristics","  3 persons",,   16320,,,...,,...,  275965,,,...,,...
"Family characteristics","  4 persons",,   13060,,,...,,...,  243960,,,...,,...
"Family characteristics","  5 or more persons",,    3725,,,...,,...,   87730,,,...,,...
"Family characteristics","Average size of census families",,    2.9,,,...,,...,    2.8,,,...,,...
"Family characteristics","Total number of census families in private households - 100% data",11,   64040,,,...,,..., 1311345,,,...,,...
"Family characteristics","  Total couple families",,   53625,,,...,,..., 1113405,,,...,,...
"Family characteristics","    Married couples",,   47045,,,...,,...,  927440,,,...,,...
"Family characteristics","    Common-law couples",,    6580,,,...,,...,  185960,,,...,,...
"Family characteristics","  Total lone-parent families by sex of parent",,   10420,,,...,,...,  197940,,,...,,...
"Family characteristics","    Female parent",,    8625,,,...,,...,  155670,,,...,,...
"Family characteristics","    Male parent",,    1795,,,...,,...,   42265,,,...,,...
"Family characteristics","Total - Couple census families in private households - 100% data",,   53625,,,...,,..., 1113400,,,...,,...
"Family characteristics","  Couples without children",,   24040,,,...,,...,  577790,,,...,,...
"Family characteristics","  Couples with children",,   29585,,,...,,...,  535610,,,...,,...
"Family characteristics","    1 child",,   13560,,,...,,...,  221065,,,...,,...
"Family characteristics","    2 children",,   12455,,,...,,...,  230705,,,...,,...
"Family characteristics","    3 or more children",,    3570,,,...,,...,   83840,,,...,,...
"Family characteristics","Total - Lone-parent census families in private households - 100% data",,   10420,,,...,,...,  197940,,,...,,...
"Family characteristics","  1 child",,    6900,,,...,,...,  125890,,,...,,...
"Family characteristics","  2 children",,    2765,,,...,,...,   54900,,,...,,...
"Family characteristics","  3 or more children",,     750,,,...,,...,   17145,,,...,,...
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   47480,,   22980,,   24500,,  882895,,  418495,,  464405,
"Household type","Total - Private households by household type - 100% data",12,   92200,,,...,,..., 1881970,,,...,,...
"Household type","  One-census-family households",,   57185,,,...,,..., 1195735,,,...,,...
"Household type","    Without children in a census family",13,   21025,,,...,,...,  527700,,,...,,...
"Household type","    With children in a census family",14,   36160,,,...,,...,  668035,,,...,,...
"Household type","  Multiple-census-family households",,    3305,,,...,,...,   55620,,,...,,...
"Household type","  Non-census-family households",,   31710,,,...,,...,  630620,,,...,,...
"Household type","    One-person households",,   25760,,,...,,...,  541915,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    5950,,,...,,...,   88705,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  230930,,  112935,,  118000,, 4598415,, 2255395,, 2343015,
"Knowledge of official languages","  English only",,  202685,,  100785,,  101905,, 4127770,, 2050130,, 2077645,
"Knowledge of official languages","  French only",,     110,,      50,,      60,,    1810,,     820,,     985,
"Knowledge of official languages","  English and French",,   12155,,    5560,,    6595,,  314925,,  140650,,  174275,
"Knowledge of official languages","  Neither English nor French",,   15985,,    6545,,    9435,,  153910,,   63795,,   90115,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  230935,,  112935,,  118000,, 4598415,, 2255395,, 2343020,
