"Census Profile, 2021 Census of Population"
,,,"Surrey, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",17,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Market income (%)",18,   81.4,"",   86.2,"",   75.0,"",   81.4,"",   86.2,"",   75.0,"",
"Income of individuals in 2020","    Employment income (%)",19,   69.0,"",   73.4,"",   62.9,"",   69.0,"",   73.4,"",   62.9,"",
"Income of individuals in 2020","  Government transfers (%)",20,   18.7,"",   13.8,"",   25.0,"",   18.7,"",   13.8,"",   25.0,"",
"Income of individuals in 2020","    Employment insurance benefits (%)",,    1.3,"",    0.8,"",    2.0,"",    1.3,"",    0.8,"",    2.0,"",
"Income of individuals in 2020","    COVID-19 - Government income support and benefits (%)",,    7.4,"",    6.0,"",    9.2,"",    7.4,"",    6.0,"",    9.2,"",
"Income of individuals in 2020","      COVID-19 - Emergency and recovery benefits (%)",,    6.0,"",    5.0,"",    7.3,"",    6.0,"",    5.0,"",    7.3,"",
"Income of individuals in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data",21,468615,"",231005,"",237610,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without total income",, 18880,"",  9245,"",  9635,"",    4.0,"",    4.0,"",    4.1,"",
"Income of individuals in 2020","  With total income",,449735,"",221760,"",227970,"",   96.0,"",   96.0,"",   95.9,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 47990,"", 20830,"", 27155,"",   10.7,"",    9.4,"",   11.9,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 57905,"", 25010,"", 32895,"",   12.9,"",   11.3,"",   14.4,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 72870,"", 31580,"", 41295,"",   16.2,"",   14.2,"",   18.1,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 58520,"", 25775,"", 32750,"",   13.0,"",   11.6,"",   14.4,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 50535,"", 23135,"", 27405,"",   11.2,"",   10.4,"",   12.0,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 40815,"", 19990,"", 20820,"",    9.1,"",    9.0,"",    9.1,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 30790,"", 16840,"", 13950,"",    6.8,"",    7.6,"",    6.1,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 23100,"", 13880,"",  9225,"",    5.1,"",    6.3,"",    4.0,"",
"Income of individuals in 2020","    $80,000 to $89,999",, 17055,"", 10560,"",  6500,"",    3.8,"",    4.8,"",    2.9,"",
"Income of individuals in 2020","    $90,000 to $99,999",, 12900,"",  8010,"",  4895,"",    2.9,"",    3.6,"",    2.1,"",
"Income of individuals in 2020","    $100,000 and over",, 37235,"", 26150,"", 11090,"",    8.3,"",   11.8,"",    4.9,"",
"Income of individuals in 2020","      $100,000 to $149,999",, 25980,"", 17555,"",  8425,"",    5.8,"",    7.9,"",    3.7,"",
"Income of individuals in 2020","      $150,000 and over",, 11260,"",  8595,"",  2665,"",    2.5,"",    3.9,"",    1.2,"",
"Income of individuals in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data",22,468615,"",231005,"",237610,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without after-tax income",, 18615,"",  9095,"",  9520,"",    4.0,"",    3.9,"",    4.0,"",
"Income of individuals in 2020","  With after-tax income",,450005,"",221910,"",228090,"",   96.0,"",   96.1,"",   96.0,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 49385,"", 21400,"", 27985,"",   11.0,"",    9.6,"",   12.3,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 59675,"", 25835,"", 33845,"",   13.3,"",   11.6,"",   14.8,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 81750,"", 35605,"", 46140,"",   18.2,"",   16.0,"",   20.2,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 68050,"", 30675,"", 37370,"",   15.1,"",   13.8,"",   16.4,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 57225,"", 27275,"", 29945,"",   12.7,"",   12.3,"",   13.1,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 42600,"", 22695,"", 19905,"",    9.5,"",   10.2,"",    8.7,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 29400,"", 17450,"", 11950,"",    6.5,"",    7.9,"",    5.2,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 19845,"", 12205,"",  7645,"",    4.4,"",    5.5,"",    3.4,"",
"Income of individuals in 2020","    $80,000 to $89,999",, 13935,"",  8820,"",  5120,"",    3.1,"",    4.0,"",    2.2,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  8610,"",  5645,"",  2965,"",    1.9,"",    2.5,"",    1.3,"",
"Income of individuals in 2020","    $100,000 and over",, 19530,"", 14305,"",  5225,"",    4.3,"",    6.4,"",    2.3,"",
"Income of individuals in 2020","      $100,000 to $124,999",, 10435,"",  7410,"",  3030,"",    2.3,"",    3.3,"",    1.3,"",
"Income of individuals in 2020","      $125,000 and over",,  9095,"",  6900,"",  2195,"",    2.0,"",    3.1,"",    1.0,"",
"Income of individuals in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data",19,468615,"",231005,"",237610,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without employment income",,137330,"", 59290,"", 78040,"",   29.3,"",   25.7,"",   32.8,"",
"Income of individuals in 2020","  With employment income",,331285,"",171720,"",159565,"",   70.7,"",   74.3,"",   67.2,"",
"Income of individuals in 2020","    Under $5,000 (including loss)",, 41570,"", 19125,"", 22445,"",   12.5,"",   11.1,"",   14.1,"",
"Income of individuals in 2020","    $5,000 to $9,999",, 28920,"", 12510,"", 16410,"",    8.7,"",    7.3,"",   10.3,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 43130,"", 19055,"", 24075,"",   13.0,"",   11.1,"",   15.1,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 32945,"", 15010,"", 17935,"",    9.9,"",    8.7,"",   11.2,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 33155,"", 15325,"", 17825,"",   10.0,"",    8.9,"",   11.2,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 31665,"", 15835,"", 15835,"",    9.6,"",    9.2,"",    9.9,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 28725,"", 15035,"", 13695,"",    8.7,"",    8.8,"",    8.6,"",
"Income of individuals in 2020","    $60,000 to $69,999",, 22365,"", 13255,"",  9110,"",    6.8,"",    7.7,"",    5.7,"",
"Income of individuals in 2020","    $70,000 to $79,999",, 17210,"", 10910,"",  6300,"",    5.2,"",    6.4,"",    3.9,"",
"Income of individuals in 2020","    $80,000 to $89,999",, 13000,"",  8385,"",  4610,"",    3.9,"",    4.9,"",    2.9,"",
"Income of individuals in 2020","    $90,000 to $99,999",, 10335,"",  6590,"",  3750,"",    3.1,"",    3.8,"",    2.4,"",
"Income of individuals in 2020","    $100,000 and over",, 28260,"", 20685,"",  7575,"",    8.5,"",   12.0,"",    4.7,"",
"Income of individuals in 2020","      $100,000 to $124,999",, 14085,"",  9680,"",  4405,"",    4.3,"",    5.6,"",    2.8,"",
"Income of individuals in 2020","      $125,000 and over",, 14175,"", 11005,"",  3170,"",    4.3,"",    6.4,"",    2.0,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data",23,468615,"",231010,"",237605,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data",,432925,"",212865,"",220055,"",   92.4,"",   92.1,"",   92.6,"",
"Income of individuals in 2019","    Median total income in 2019 among recipients ($)",, 34400,"", 41200,"", 29400,"", 34400,"", 41200,"", 29400,"",
"Income of individuals in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data",,433805,"",213040,"",220770,"",   92.6,"",   92.2,"",   92.9,"",
"Income of individuals in 2019","    Median after-tax income in 2019 among recipients ($)",, 31600,"", 36800,"", 27400,"", 31600,"", 36800,"", 27400,"",
"Income of individuals in 2019","  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data",,386140,"",194940,"",191200,"",   82.4,"",   84.4,"",   80.5,"",
"Income of individuals in 2019","    Median market income in 2019 among recipients ($)",, 34000,"", 42000,"", 28000,"", 34000,"", 42000,"", 28000,"",
"Income of individuals in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data",,333990,"",172140,"",161850,"",   71.3,"",   74.5,"",   68.1,"",
"Income of individuals in 2019","    Median employment income in 2019 among recipients ($)",, 35200,"", 42400,"", 29400,"", 35200,"", 42400,"", 29400,"",
"Income of individuals in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data",,302975,"",129900,"",173080,"",   64.7,"",   56.2,"",   72.8,"",
"Income of individuals in 2019","    Median government transfers in 2019 among recipients ($)",,  3480,"",  1550,"",  5160,"",  3480,"",  1550,"",  5160,"",
