,,,"Langley, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"First official language spoken","Official language minority (number)",17,    1070,,     505,,     560,,   64325,,   31840,,   32480,
"First official language spoken","Official language minority (percentage)",17,    0.9,,    0.9,,    0.9,,    1.4,,    1.4,,    1.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  116315,,   56865,,   59450,, 4598415,, 2255400,, 2343015,
"Mother tongue","  Single responses",,  114565,,   56000,,   58565,, 4494995,, 2205775,, 2289220,
"Mother tongue","    Official languages",,   94175,,   46360,,   47820,, 3227535,, 1614375,, 1613160,
"Mother tongue","      English",,   93155,,   45865,,   47290,, 3170110,, 1585760,, 1584355,
"Mother tongue","      French",,    1020,,     495,,     525,,   57425,,   28615,,   28810,
"Mother tongue","    Non-official languages",,   20390,,    9635,,   10750,, 1267460,,  591400,,  676060,
"Mother tongue","      Aboriginal languages",,      10,,       5,,       5,,    8435,,    3940,,    4490,
"Mother tongue","        Algonquian languages",,       0,,       5,,       0,,    1050,,     445,,     605,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      40,,       5,,      35,
"Mother tongue","          Cree-Montagnais languages",,       0,,       0,,       0,,     840,,     375,,     465,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Plains Cree",,       0,,       0,,       0,,     150,,      60,,      85,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,      25,,      15,,      10,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      60,,      25,,      35,
"Mother tongue","            Cree; n.o.s.",,       0,,       0,,       0,,     585,,     270,,     320,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      10,,       5,,      10,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Ojibway-Potawatomi languages",,       0,,       0,,       0,,     155,,      55,,     105,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Ojibway",,       0,,       0,,       0,,     135,,      50,,      90,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Athabaskan languages",,       0,,       0,,       0,,    2310,,    1045,,    1260,
"Mother tongue","          Northern Athabaskan languages",,       5,,       0,,       0,,    2295,,    1045,,    1250,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      55,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     160,,      75,,      85,
"Mother tongue","            Carrier",,       5,,       0,,       0,,    1005,,     460,,     550,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,     650,,     295,,     355,
"Mother tongue","            Dene",,       0,,       0,,       0,,      90,,      35,,      50,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,      75,,      30,,      45,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,      50,,      25,,      30,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     105,,      45,,      50,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","        Haida",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,      80,,      30,,      55,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,      50,,      20,,      30,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,     100,,      55,,      50,
"Mother tongue","        Michif",,       0,,       0,,       0,,      35,,      20,,      10,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,    2270,,    1115,,    1155,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     230,,     245,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,     315,,     155,,     160,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,     435,,     220,,     215,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      35,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,     330,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     250,,     130,,     120,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","          Dakota",,       0,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,    1460,,     715,,     740,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,     875,,     435,,     445,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,     385,,     195,,     190,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,     195,,      90,,     110,
"Mother tongue","        Wakashan languages",,       5,,       0,,       0,,     795,,     365,,     435,
"Mother tongue","          Haisla",,       0,,       5,,       0,,      90,,      40,,      55,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     320,,     140,,     180,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     275,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       5,,      10,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     190,,      80,,     110,
"Mother tongue","      Non-Aboriginal languages",,   20380,,    9635,,   10745,, 1259025,,  587455,,  671570,
"Mother tongue","        Afro-Asiatic languages",,     355,,     180,,     180,,   24870,,   13405,,   11465,
"Mother tongue","          Berber languages",,       0,,       0,,       5,,     115,,      75,,      45,
"Mother tongue","            Kabyle",,       0,,       0,,       5,,      40,,      30,,      15,
