"Census Profile, 2021 Census of Population"
,,,"White Rock, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",17,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Market income (%)",18,   83.4,"",   88.0,"",   77.6,"",   83.4,"",   88.0,"",   77.6,"",
"Income of individuals in 2020","    Employment income (%)",19,   53.1,"",   57.2,"",   47.9,"",   53.1,"",   57.2,"",   47.9,"",
"Income of individuals in 2020","  Government transfers (%)",20,   16.6,"",   12.0,"",   22.4,"",   16.6,"",   12.0,"",   22.4,"",
"Income of individuals in 2020","    Employment insurance benefits (%)",,    0.7,"",    0.4,"",    1.0,"",    0.7,"",    0.4,"",    1.0,"",
"Income of individuals in 2020","    COVID-19 - Government income support and benefits (%)",,    4.3,"",    3.2,"",    5.7,"",    4.3,"",    3.2,"",    5.7,"",
"Income of individuals in 2020","      COVID-19 - Emergency and recovery benefits (%)",,    3.4,"",    2.6,"",    4.4,"",    3.4,"",    2.6,"",    4.4,"",
"Income of individuals in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data",21, 18745,"",  8500,"", 10250,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without total income",,   450,"",   230,"",   225,"",    2.4,"",    2.7,"",    2.2,"",
"Income of individuals in 2020","  With total income",, 18295,"",  8270,"", 10020,"",   97.6,"",   97.3,"",   97.8,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",,  1315,"",   545,"",   770,"",    7.2,"",    6.6,"",    7.7,"",
"Income of individuals in 2020","    $10,000 to $19,999",,  1990,"",   790,"",  1200,"",   10.9,"",    9.6,"",   12.0,"",
"Income of individuals in 2020","    $20,000 to $29,999",,  2915,"",  1045,"",  1865,"",   15.9,"",   12.6,"",   18.6,"",
"Income of individuals in 2020","    $30,000 to $39,999",,  2180,"",   830,"",  1355,"",   11.9,"",   10.0,"",   13.5,"",
"Income of individuals in 2020","    $40,000 to $49,999",,  1995,"",   845,"",  1150,"",   10.9,"",   10.2,"",   11.5,"",
"Income of individuals in 2020","    $50,000 to $59,999",,  1630,"",   680,"",   950,"",    8.9,"",    8.2,"",    9.5,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  1300,"",   620,"",   680,"",    7.1,"",    7.5,"",    6.8,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  1005,"",   485,"",   520,"",    5.5,"",    5.9,"",    5.2,"",
"Income of individuals in 2020","    $80,000 to $89,999",,   785,"",   435,"",   355,"",    4.3,"",    5.3,"",    3.5,"",
"Income of individuals in 2020","    $90,000 to $99,999",,   650,"",   335,"",   320,"",    3.6,"",    4.1,"",    3.2,"",
"Income of individuals in 2020","    $100,000 and over",,  2530,"",  1660,"",   865,"",   13.8,"",   20.1,"",    8.6,"",
"Income of individuals in 2020","      $100,000 to $149,999",,  1425,"",   875,"",   550,"",    7.8,"",   10.6,"",    5.5,"",
"Income of individuals in 2020","      $150,000 and over",,  1100,"",   785,"",   320,"",    6.0,"",    9.5,"",    3.2,"",
"Income of individuals in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data",22, 18745,"",  8500,"", 10250,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without after-tax income",,   405,"",   205,"",   205,"",    2.2,"",    2.4,"",    2.0,"",
"Income of individuals in 2020","  With after-tax income",, 18340,"",  8290,"", 10050,"",   97.8,"",   97.5,"",   98.0,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",,  1490,"",   610,"",   885,"",    8.1,"",    7.4,"",    8.8,"",
"Income of individuals in 2020","    $10,000 to $19,999",,  2080,"",   820,"",  1265,"",   11.3,"",    9.9,"",   12.6,"",
"Income of individuals in 2020","    $20,000 to $29,999",,  3195,"",  1190,"",  2005,"",   17.4,"",   14.4,"",   20.0,"",
"Income of individuals in 2020","    $30,000 to $39,999",,  2520,"",   965,"",  1555,"",   13.7,"",   11.6,"",   15.5,"",
"Income of individuals in 2020","    $40,000 to $49,999",,  2275,"",   950,"",  1320,"",   12.4,"",   11.5,"",   13.1,"",
"Income of individuals in 2020","    $50,000 to $59,999",,  1765,"",   815,"",   950,"",    9.6,"",    9.8,"",    9.5,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  1255,"",   635,"",   620,"",    6.8,"",    7.7,"",    6.2,"",
"Income of individuals in 2020","    $70,000 to $79,999",,   985,"",   540,"",   440,"",    5.4,"",    6.5,"",    4.4,"",
"Income of individuals in 2020","    $80,000 to $89,999",,   705,"",   375,"",   325,"",    3.8,"",    4.5,"",    3.2,"",
"Income of individuals in 2020","    $90,000 to $99,999",,   465,"",   300,"",   165,"",    2.5,"",    3.6,"",    1.6,"",
"Income of individuals in 2020","    $100,000 and over",,  1605,"",  1090,"",   510,"",    8.8,"",   13.1,"",    5.1,"",
"Income of individuals in 2020","      $100,000 to $124,999",,   670,"",   425,"",   245,"",    3.7,"",    5.1,"",    2.4,"",
"Income of individuals in 2020","      $125,000 and over",,   935,"",   670,"",   265,"",    5.1,"",    8.1,"",    2.6,"",
"Income of individuals in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data",19, 18745,"",  8500,"", 10250,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without employment income",,  7650,"",  3080,"",  4570,"",   40.8,"",   36.2,"",   44.6,"",
"Income of individuals in 2020","  With employment income",, 11095,"",  5415,"",  5680,"",   59.2,"",   63.7,"",   55.4,"",
"Income of individuals in 2020","    Under $5,000 (including loss)",,  1895,"",   880,"",  1015,"",   17.1,"",   16.3,"",   17.9,"",
"Income of individuals in 2020","    $5,000 to $9,999",,   890,"",   360,"",   525,"",    8.0,"",    6.6,"",    9.2,"",
"Income of individuals in 2020","    $10,000 to $19,999",,  1220,"",   515,"",   710,"",   11.0,"",    9.5,"",   12.5,"",
"Income of individuals in 2020","    $20,000 to $29,999",,   960,"",   415,"",   545,"",    8.7,"",    7.7,"",    9.6,"",
"Income of individuals in 2020","    $30,000 to $39,999",,   785,"",   300,"",   480,"",    7.1,"",    5.5,"",    8.5,"",
"Income of individuals in 2020","    $40,000 to $49,999",,   855,"",   375,"",   480,"",    7.7,"",    6.9,"",    8.5,"",
"Income of individuals in 2020","    $50,000 to $59,999",,   805,"",   360,"",   445,"",    7.3,"",    6.6,"",    7.8,"",
"Income of individuals in 2020","    $60,000 to $69,999",,   685,"",   345,"",   340,"",    6.2,"",    6.4,"",    6.0,"",
"Income of individuals in 2020","    $70,000 to $79,999",,   535,"",   285,"",   250,"",    4.8,"",    5.3,"",    4.4,"",
"Income of individuals in 2020","    $80,000 to $89,999",,   450,"",   245,"",   200,"",    4.1,"",    4.5,"",    3.5,"",
"Income of individuals in 2020","    $90,000 to $99,999",,   435,"",   215,"",   220,"",    3.9,"",    4.0,"",    3.9,"",
"Income of individuals in 2020","    $100,000 and over",,  1585,"",  1115,"",   465,"",   14.3,"",   20.6,"",    8.2,"",
"Income of individuals in 2020","      $100,000 to $124,999",,   620,"",   395,"",   230,"",    5.6,"",    7.3,"",    4.0,"",
"Income of individuals in 2020","      $125,000 and over",,   970,"",   725,"",   240,"",    8.7,"",   13.4,"",    4.2,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data",23, 18750,"",  8495,"", 10245,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data",, 17860,"",  8060,"",  9800,"",   95.3,"",   94.9,"",   95.7,"",
"Income of individuals in 2019","    Median total income in 2019 among recipients ($)",, 42400,"", 51600,"", 36400,"", 42400,"", 51600,"", 36400,"",
"Income of individuals in 2019","  Number of after-tax income recipients aged 15 years and over in private households in 2019 - 100% data",, 17900,"",  8065,"",  9830,"",   95.5,"",   94.9,"",   95.9,"",
"Income of individuals in 2019","    Median after-tax income in 2019 among recipients ($)",, 37600,"", 45200,"", 32800,"", 37600,"", 45200,"", 32800,"",
"Income of individuals in 2019","  Number of market income recipients aged 15 years and over in private households in 2019 - 100% data",, 16515,"",  7485,"",  9030,"",   88.1,"",   88.1,"",   88.1,"",
"Income of individuals in 2019","    Median market income in 2019 among recipients ($)",, 37600,"", 48400,"", 30400,"", 37600,"", 48400,"", 30400,"",
"Income of individuals in 2019","  Number of employment income recipients aged 15 years and over in private households in 2019 - 100% data",, 11835,"",  5600,"",  6235,"",   63.1,"",   65.9,"",   60.9,"",
"Income of individuals in 2019","    Median employment income in 2019 among recipients ($)",, 35600,"", 46000,"", 28200,"", 35600,"", 46000,"", 28200,"",
"Income of individuals in 2019","  Number of government transfers recipients aged 15 years and over in private households in 2019 - 100% data",, 12755,"",  5215,"",  7540,"",   68.0,"",   61.4,"",   73.6,"",
"Income of individuals in 2019","    Median government transfers in 2019 among recipients ($)",, 11600,"", 11900,"", 11400,"", 11600,"", 11900,"", 11400,"",
