,,,"Abbotsford, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   20800,,    9605,,   11190,,  882895,,  418495,,  464405,
"Household type","Total - Private households by household type - 100% data",12,   49040,,,...,,..., 1881970,,,...,,...
"Household type","  One-census-family households",,   32285,,,...,,..., 1195735,,,...,,...
"Household type","    Without children in a census family",13,   12590,,,...,,...,  527700,,,...,,...
"Household type","    With children in a census family",14,   19700,,,...,,...,  668035,,,...,,...
"Household type","  Multiple-census-family households",,    3300,,,...,,...,   55620,,,...,,...
"Household type","  Non-census-family households",,   13455,,,...,,...,  630620,,,...,,...
"Household type","    One-person households",,   11700,,,...,,...,  541915,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    1750,,,...,,...,   88705,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  139255,,   68440,,   70815,, 4598415,, 2255395,, 2343015,
"Knowledge of official languages","  English only",,  125175,,   62275,,   62895,, 4127770,, 2050130,, 2077645,
"Knowledge of official languages","  French only",,      30,,      15,,      20,,    1810,,     820,,     985,
"Knowledge of official languages","  English and French",,    6155,,    2715,,    3445,,  314925,,  140650,,  174275,
"Knowledge of official languages","  Neither English nor French",,    7890,,    3440,,    4450,,  153910,,   63795,,   90115,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  139255,,   68440,,   70810,, 4598415,, 2255395,, 2343020,
"First official language spoken","  English",,  130045,,   64355,,   65695,, 4373330,, 2156680,, 2216655,
"First official language spoken","  French",,     935,,     470,,     470,,   55325,,   27680,,   27640,
"First official language spoken","  English and French",,     465,,     220,,     245,,   18000,,    8315,,    9685,
"First official language spoken","  Neither English nor French",,    7805,,    3400,,    4410,,  151760,,   62720,,   89040,
"First official language spoken","Official language minority (number)",17,    1170,,     580,,     590,,   64325,,   31840,,   32480,
"First official language spoken","Official language minority (percentage)",17,    0.8,,    0.8,,    0.8,,    1.4,,    1.4,,    1.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  139255,,   68440,,   70815,, 4598415,, 2255400,, 2343015,
"Mother tongue","  Single responses",,  135815,,   66760,,   69055,, 4494995,, 2205775,, 2289220,
"Mother tongue","    Official languages",,   90585,,   44715,,   45870,, 3227535,, 1614375,, 1613160,
"Mother tongue","      English",,   89550,,   44200,,   45355,, 3170110,, 1585760,, 1584355,
"Mother tongue","      French",,    1030,,     515,,     510,,   57425,,   28615,,   28810,
"Mother tongue","    Non-official languages",,   45235,,   22045,,   23190,, 1267460,,  591400,,  676060,
"Mother tongue","      Aboriginal languages",,      25,,      10,,      15,,    8435,,    3940,,    4490,
"Mother tongue","        Algonquian languages",,      15,,      10,,      15,,    1050,,     445,,     605,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      40,,       5,,      35,
"Mother tongue","          Cree-Montagnais languages",,      15,,       5,,       5,,     840,,     375,,     465,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Plains Cree",,       5,,       0,,       5,,     150,,      60,,      85,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       0,,       0,,       0,,      25,,      15,,      10,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      60,,      25,,      35,
"Mother tongue","            Cree; n.o.s.",,       5,,       5,,       5,,     585,,     270,,     320,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      10,,       5,,      10,
"Mother tongue","            Malecite",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Mi'kmaq",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Ojibway-Potawatomi languages",,       5,,       0,,       0,,     155,,      55,,     105,
"Mother tongue","            Algonquin",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Ojibway",,       5,,       0,,       0,,     135,,      50,,      90,
"Mother tongue","            Oji-Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Athabaskan languages",,       5,,       0,,       5,,    2310,,    1045,,    1260,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,    2295,,    1045,,    1250,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      55,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     160,,      75,,      85,
"Mother tongue","            Carrier",,       0,,       0,,       0,,    1005,,     460,,     550,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,     650,,     295,,     355,
"Mother tongue","            Dene",,       0,,       0,,       0,,      90,,      35,,      50,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,      75,,      30,,      45,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,      50,,      25,,      30,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     105,,      45,,      50,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","        Haida",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,      80,,      30,,      55,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,      50,,      20,,      30,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,     100,,      55,,      50,
"Mother tongue","        Michif",,       0,,       0,,       0,,      35,,      20,,      10,
"Mother tongue","        Salish languages",,       5,,       0,,       0,,    2270,,    1115,,    1155,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     230,,     245,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,     315,,     155,,     160,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,     435,,     220,,     215,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      35,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,     330,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     250,,     130,,     120,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","          Dakota",,       0,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       5,,    1460,,     715,,     740,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,     875,,     435,,     445,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,     385,,     195,,     190,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,     195,,      90,,     110,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,     795,,     365,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      55,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     320,,     140,,     180,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     275,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       5,,      10,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       5,,       5,,       0,,     190,,      80,,     110,
"Mother tongue","      Non-Aboriginal languages",,   45205,,   22030,,   23175,, 1259025,,  587455,,  671570,
"Mother tongue","        Afro-Asiatic languages",,     395,,     220,,     180,,   24870,,   13405,,   11465,
"Mother tongue","          Berber languages",,       0,,       5,,       0,,     115,,      75,,      45,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,      40,,      30,,      15,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       5,,       0,,      80,,      45,,      30,
"Mother tongue","          Cushitic languages",,      10,,       5,,       5,,    1505,,     765,,     740,
"Mother tongue","            Bilen",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,       5,,       0,,       5,,     205,,     115,,      95,
"Mother tongue","            Somali",,       0,,       0,,       0,,    1270,,     640,,     640,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Semitic languages",,     390,,     210,,     175,,   23195,,   12540,,   10655,
"Mother tongue","            Amharic",,       5,,       5,,       0,,    1370,,     670,,     700,
"Mother tongue","            Arabic",,     340,,     185,,     150,,   17480,,    9595,,    7890,
"Mother tongue","            Assyrian Neo-Aramaic",,      10,,       5,,       0,,     650,,     315,,     330,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,     440,,     245,,     200,
"Mother tongue","            Harari",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","            Hebrew",,      20,,      15,,      10,,    2065,,    1125,,     940,
"Mother tongue","            Maltese",,       5,,       0,,       0,,     215,,     100,,     115,
"Mother tongue","            Tigrigna",,       5,,       5,,       0,,     805,,     395,,     405,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       5,,       0,,     150,,      80,,      65,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","        Austro-Asiatic languages",,     885,,     395,,     490,,   28740,,   13170,,   15575,
"Mother tongue","          Khmer (Cambodian)",,      35,,      10,,      20,,    1560,,     710,,     850,
"Mother tongue","          Vietnamese",,     850,,     380,,     475,,   27150,,   12440,,   14710,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Austronesian languages",,    1070,,     430,,     645,,   96535,,   38765,,   57770,
"Mother tongue","          Bikol",,      10,,       5,,       5,,     375,,     165,,     215,
"Mother tongue","          Cebuano",,      55,,      20,,      35,,    4065,,    1565,,    2505,
"Mother tongue","          Fijian",,      15,,      10,,       5,,     470,,     240,,     230,
"Mother tongue","          Hiligaynon",,      15,,       5,,       5,,    1470,,     550,,     920,
"Mother tongue","          Ilocano",,      55,,      30,,      30,,    5240,,    2055,,    3190,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Malay",,      40,,      15,,      30,,    3895,,    1675,,    2220,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,     700,,     320,,     380,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     295,,     130,,     170,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,     875,,     345,,     525,,   78770,,   31550,,   47220,
"Mother tongue","          Waray-Waray",,       0,,       0,,       0,,     215,,      85,,     135,
"Mother tongue","          Austronesian languages; n.i.e.",,      15,,       5,,      10,,    1015,,     435,,     580,
"Mother tongue","        Creole languages",,      50,,      30,,      20,,     840,,     440,,     400,
"Mother tongue","          Haitian Creole",,       0,,       5,,       0,,      35,,      20,,      15,
"Mother tongue","          Creole; n.o.s.",,      35,,      25,,      15,,     500,,     255,,     245,
"Mother tongue","          Creole languages; n.i.e.",,      15,,       5,,       5,,     305,,     155,,     145,
"Mother tongue","        Dravidian languages",,     135,,      70,,      65,,    7500,,    3995,,    3510,
"Mother tongue","          Kannada",,       0,,       0,,       0,,     280,,     150,,     135,
"Mother tongue","          Malayalam",,      70,,      35,,      35,,    2385,,    1260,,    1130,
"Mother tongue","          Tamil",,      25,,      10,,      10,,    3615,,    1875,,    1740,
"Mother tongue","          Telugu",,      40,,      25,,      15,,    1175,,     695,,     480,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Hmong-Mien languages",,       5,,       5,,       5,,     140,,      75,,      70,
"Mother tongue","        Indo-European languages",,   38820,,   19060,,   19765,,  588175,,  286135,,  302035,
"Mother tongue","          Albanian",,      70,,      35,,      35,,    1465,,     765,,     705,
"Mother tongue","          Armenian",,      25,,      15,,      10,,    1195,,     600,,     600,
"Mother tongue","          Balto-Slavic languages",,    1295,,     610,,     685,,   83110,,   38595,,   44515,
"Mother tongue","            Baltic languages",,      15,,       5,,       5,,    1070,,     485,,     585,
"Mother tongue","              Latvian",,       5,,       5,,       5,,     565,,     255,,     300,
