,,,"North Vancouver, District municipality [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","            Ottawa (Odawa)",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","          Algonquian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Athabaskan languages",,       5,,       0,,       5,,    2310,,    1045,,    1260,
"Mother tongue","          Northern Athabaskan languages",,       0,,       0,,       0,,    2295,,    1045,,    1250,
"Mother tongue","            Babine (Wetsuwet'en)",,       0,,       0,,       0,,     110,,      55,,      55,
"Mother tongue","            Beaver",,       0,,       0,,       0,,     160,,      75,,      85,
"Mother tongue","            Carrier",,       0,,       0,,       0,,    1005,,     460,,     550,
"Mother tongue","            Chilcotin",,       0,,       0,,       0,,     650,,     295,,     355,
"Mother tongue","            Dene",,       0,,       0,,       0,,      90,,      35,,      50,
"Mother tongue","            Dogrib (Tlicho)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Gwich'in",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","            Sarsi (Sarcee)",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","            Sekani",,       0,,       0,,       0,,      85,,      40,,      45,
"Mother tongue","            Slavey-Hare languages",,       0,,       0,,       0,,      75,,      30,,      45,
"Mother tongue","              North Slavey (Hare)",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              South Slavey",,       0,,       0,,       5,,      20,,       5,,      15,
"Mother tongue","              Slavey; n.o.s.",,       0,,       0,,       0,,      50,,      25,,      30,
"Mother tongue","            Tahltan languages",,       0,,       0,,       0,,     105,,      45,,      50,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","        Haida",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,      80,,      30,,      55,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","          Inuktitut",,       0,,       0,,       0,,      50,,      20,,      30,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,     100,,      55,,      50,
"Mother tongue","        Michif",,       0,,       0,,       0,,      35,,      20,,      10,
"Mother tongue","        Salish languages",,       0,,       0,,       0,,    2270,,    1115,,    1155,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     230,,     245,
"Mother tongue","          Lillooet",,       0,,       0,,       0,,     315,,     155,,     160,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,     435,,     220,,     215,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      35,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,     330,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     250,,     130,,     120,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","          Dakota",,       0,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,    1460,,     715,,     740,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       5,,     875,,     435,,     445,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,     385,,     195,,     190,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,     195,,      90,,     110,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,     795,,     365,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      55,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     320,,     140,,     180,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     275,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       5,,      10,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       0,,       0,,       0,,     190,,      80,,     110,
"Mother tongue","      Non-Aboriginal languages",,   20860,,    9490,,   11370,, 1259025,,  587455,,  671570,
"Mother tongue","        Afro-Asiatic languages",,     225,,     125,,     100,,   24870,,   13405,,   11465,
"Mother tongue","          Berber languages",,       0,,       0,,       0,,     115,,      75,,      45,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,      40,,      30,,      15,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       0,,       0,,      80,,      45,,      30,
"Mother tongue","          Cushitic languages",,       0,,       0,,       0,,    1505,,     765,,     740,
"Mother tongue","            Bilen",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,       0,,       0,,       0,,     205,,     115,,      95,
"Mother tongue","            Somali",,       0,,       0,,       0,,    1270,,     640,,     640,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Semitic languages",,     225,,     125,,     105,,   23195,,   12540,,   10655,
"Mother tongue","            Amharic",,       0,,       0,,       0,,    1370,,     670,,     700,
"Mother tongue","            Arabic",,     165,,      90,,      75,,   17480,,    9595,,    7890,
"Mother tongue","            Assyrian Neo-Aramaic",,       0,,       5,,       0,,     650,,     315,,     330,
"Mother tongue","            Chaldean Neo-Aramaic",,       5,,       0,,       0,,     440,,     245,,     200,
"Mother tongue","            Harari",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","            Hebrew",,      55,,      30,,      20,,    2065,,    1125,,     940,
"Mother tongue","            Maltese",,       0,,       0,,       0,,     215,,     100,,     115,
"Mother tongue","            Tigrigna",,       5,,       0,,       0,,     805,,     395,,     405,
"Mother tongue","            Semitic languages; n.i.e.",,       0,,       0,,       0,,     150,,      80,,      65,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","        Austro-Asiatic languages",,      45,,      10,,      35,,   28740,,   13170,,   15575,
"Mother tongue","          Khmer (Cambodian)",,       0,,       0,,       0,,    1560,,     710,,     850,
"Mother tongue","          Vietnamese",,      50,,      15,,      35,,   27150,,   12440,,   14710,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Austronesian languages",,    1180,,     395,,     785,,   96535,,   38765,,   57770,
"Mother tongue","          Bikol",,       5,,       5,,       5,,     375,,     165,,     215,
"Mother tongue","          Cebuano",,      30,,       5,,      25,,    4065,,    1565,,    2505,
"Mother tongue","          Fijian",,       5,,       0,,       0,,     470,,     240,,     230,
"Mother tongue","          Hiligaynon",,      10,,       5,,       5,,    1470,,     550,,     920,
"Mother tongue","          Ilocano",,      80,,      30,,      55,,    5240,,    2055,,    3190,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Malay",,      40,,      15,,      30,,    3895,,    1675,,    2220,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,       0,,       0,,       0,,     700,,     320,,     380,
"Mother tongue","          Pangasinan",,       0,,       0,,       0,,     295,,     130,,     170,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,     990,,     335,,     655,,   78770,,   31550,,   47220,
"Mother tongue","          Waray-Waray",,       5,,       0,,       0,,     215,,      85,,     135,
"Mother tongue","          Austronesian languages; n.i.e.",,      15,,       5,,       5,,    1015,,     435,,     580,
"Mother tongue","        Creole languages",,      10,,       5,,      10,,     840,,     440,,     400,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,      35,,      20,,      15,
"Mother tongue","          Creole; n.o.s.",,      10,,       5,,       5,,     500,,     255,,     245,
"Mother tongue","          Creole languages; n.i.e.",,       5,,       0,,       0,,     305,,     155,,     145,
"Mother tongue","        Dravidian languages",,      40,,      20,,      20,,    7500,,    3995,,    3510,
"Mother tongue","          Kannada",,       5,,       0,,       5,,     280,,     150,,     135,
