,,,"Coquitlam, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Family characteristics","Total - Persons not in census families in private households - 100% data",,   19735,,    9230,,   10500,,  882895,,  418495,,  464405,
"Household type","Total - Private households by household type - 100% data",12,   51325,,,...,,..., 1881970,,,...,,...
"Household type","  One-census-family households",,   36220,,,...,,..., 1195735,,,...,,...
"Household type","    Without children in a census family",13,   11815,,,...,,...,  527700,,,...,,...
"Household type","    With children in a census family",14,   24405,,,...,,...,  668035,,,...,,...
"Household type","  Multiple-census-family households",,    1875,,,...,,...,   55620,,,...,,...
"Household type","  Non-census-family households",,   13230,,,...,,...,  630620,,,...,,...
"Household type","    One-person households",,   11415,,,...,,...,  541915,,,...,,...
"Household type","    Two-or-more person non-census-family households",,    1815,,,...,,...,   88705,,,...,,...
"Knowledge of official languages","Total - Knowledge of official languages for the total population excluding institutional residents - 100% data",15,  138330,,   67900,,   70435,, 4598415,, 2255395,, 2343015,
"Knowledge of official languages","  English only",,  122745,,   61225,,   61510,, 4127770,, 2050130,, 2077645,
"Knowledge of official languages","  French only",,      60,,      25,,      35,,    1810,,     820,,     985,
"Knowledge of official languages","  English and French",,    8710,,    3810,,    4895,,  314925,,  140650,,  174275,
"Knowledge of official languages","  Neither English nor French",,    6830,,    2840,,    3995,,  153910,,   63795,,   90115,
"First official language spoken","Total - First official language spoken for the total population excluding institutional residents - 100% data",16,  138335,,   67900,,   70435,, 4598415,, 2255395,, 2343020,
"First official language spoken","  English",,  129250,,   64035,,   65215,, 4373330,, 2156680,, 2216655,
"First official language spoken","  French",,    1320,,     630,,     690,,   55325,,   27680,,   27640,
"First official language spoken","  English and French",,    1030,,     450,,     580,,   18000,,    8315,,    9685,
"First official language spoken","  Neither English nor French",,    6735,,    2785,,    3945,,  151760,,   62720,,   89040,
"First official language spoken","Official language minority (number)",17,    1835,,     850,,     985,,   64325,,   31840,,   32480,
