,,,"Richmond, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"First official language spoken","Official language minority (percentage)",17,    0.9,,    0.9,,    0.8,,    1.4,,    1.4,,    1.4,
"Mother tongue","Total - Mother tongue for the total population excluding institutional residents - 100% data",18,  197255,,   94270,,  102985,, 4598415,, 2255400,, 2343015,
"Mother tongue","  Single responses",,  189355,,   90440,,   98920,, 4494995,, 2205775,, 2289220,
"Mother tongue","    Official languages",,   66365,,   34115,,   32245,, 3227535,, 1614375,, 1613160,
"Mother tongue","      English",,   65350,,   33570,,   31785,, 3170110,, 1585760,, 1584355,
"Mother tongue","      French",,    1015,,     555,,     465,,   57425,,   28615,,   28810,
"Mother tongue","    Non-official languages",,  122990,,   56320,,   66675,, 1267460,,  591400,,  676060,
"Mother tongue","      Aboriginal languages",,      20,,      10,,      15,,    8435,,    3940,,    4490,
"Mother tongue","        Algonquian languages",,      10,,       0,,       5,,    1050,,     445,,     605,
"Mother tongue","          Blackfoot",,       0,,       0,,       0,,      40,,       5,,      35,
"Mother tongue","          Cree-Montagnais languages",,       5,,       0,,       5,,     840,,     375,,     465,
"Mother tongue","            Atikamekw",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Montagnais (Innu)",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Moose Cree",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","            Naskapi",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Northern East Cree",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","            Plains Cree",,       0,,       0,,       5,,     150,,      60,,      85,
"Mother tongue","            Southern East Cree",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","            Swampy Cree",,       5,,       0,,       0,,      25,,      15,,      10,
"Mother tongue","            Woods Cree",,       0,,       0,,       0,,      60,,      25,,      35,
"Mother tongue","            Cree; n.o.s.",,       5,,       0,,       0,,     585,,     270,,     320,
"Mother tongue","          Eastern Algonquian languages",,       0,,       0,,       0,,      10,,       5,,      10,
